City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Hokitika,NZ,2020-06-18 20:42:48,-42.72,170.97,282.89,63,93,3.34
282,Portland,US,2020-06-18 20:41:08,45.52,-122.68,298.15,49,75,2.1
283,Khandyga,RU,2020-06-18 20:43:09,62.67,135.6,291.3,66,99,1.42
284,Chumikan,RU,2020-06-18 20:39:53,54.72,135.31,277.38,93,100,2.44
285,Coquimbo,CL,2020-06-18 20:41:36,-29.95,-71.34,289.15,67,100,2.6
286,Osmena,PH,2020-06-18 20:43:10,10.52,119.93,301.63,75,100,2.72
287,Saldanha,ZA,2020-06-18 20:40:06,-33.01,17.94,292.34,46,0,8.06
288,Nemuro,JP,2020-06-18 20:41:30,43.32,145.57,285.44,94,96,2.98
289,San Andres,CO,2020-06-18 20:42:52,12.58,-81.7,304.15,66,40,4.6
290,Zhigansk,RU,2020-06-18 20:40:36,66.77,123.37,291.01,63,22,2.8
291,Thompson,CA,2020-06-18 20:39:56,55.74,-97.86,276.15,100,90,6.2
292,Codrington,AU,2020-06-18 20:43:11,-38.27,141.97,284.07,73,88,7.62
293,Puerto Palomas,MX,2020-06-18 20:43:11,31.77,-107.62,307.15,8,1,7.2
294,Sur,OM,2020-06-18 20:43:11,22.57,59.53,301.77,74,1,6.5
295,Havre-Saint-Pierre,CA,2020-06-18 20:43:12,50.23,-63.6,295.15,60,75,5.7
296,Nisia Floresta,BR,2020-06-18 20:43:12,-6.09,-35.21,297.15,94,75,4.1
297,South Venice,US,2020-06-18 20:43:12,27.05,-82.42,305.93,66,1,4.6
298,Tomatlan,MX,2020-06-18 20:43:12,19.93,-105.25,306.55,36,0,4.87
299,Ketchikan,US,2020-06-18 20:41:02,55.34,-131.65,287.15,100,90,10.3
300,Haines Junction,CA,2020-06-18 20:40:27,60.75,-137.51,287.76,53,100,2.2
301,Krasnoarmeysk,RU,2020-06-18 20:43:13,51.02,45.7,291.05,94,0,5.42
302,Ratnagiri,IN,2020-06-18 20:43:13,16.98,73.3,300.59,84,100,6.33
